pair_id,llm_same
p0001,1
p0002,1
p0005,1
p0006,0
p0009,1
p0010,0
p0012,0
p0013,1
p0014,0
p0015,0
p0020,1
p0021,0
p0023,0
p0031,0
p0035,1
p0036,0
p0038,0
p0040,0
p0041,0
p0042,1
p0043,0
p0044,0
p0045,1
p0047,1
p0048,1
p0049,1
p0054,1
p0059,0
p0060,1
p0061,0
p0064,1
p0069,0
p0075,1
p0078,1
p0080,1
p0081,0
p0082,0
p0088,1
p0090,0
p0092,0
p0094,1
p0097,1
p0102,1
p0103,0
p0104,1
p0105,0
p0107,0
p0109,0
p0110,0
p0112,0
p0114,0
p0119,0
p0123,0
p0125,0
p0127,0
p0130,0
p0132,0
p0133,0
p0134,1
p0135,0
p0142,0
p0143,0
p0144,0
p0145,0
p0148,0
p0153,1
p0155,0
p0159,0
p0160,0
p0163,0
p0165,0
p0168,0
p0171,0
p0172,1
p0173,0
p0174,1
p0179,0
p0181,1
p0185,0
p0186,1
p0189,1
p0191,1
p0193,0
p0197,0
p0200,1
p0203,0
p0205,1
p0206,1
p0210,1
p0213,0
p0215,0
p0217,1
p0218,0
p0220,0
p0222,0
p0224,0
p0225,0
p0226,0
p0229,1
p0233,0
p0234,1
p0235,1
p0236,1
p0238,0
p0241,1
p0244,1
p0245,1
p0246,0
p0247,0
p0248,0
p0249,0
p0250,1
p0252,1
p0253,0
p0256,0
p0260,0
p0262,0
p0263,1
p0264,0
p0265,1
p0266,0
p0267,0
p0269,1
p0273,0
p0277,0
p0280,0
p0281,0
p0283,0
p0284,0
p0286,1
p0287,0
p0288,0
p0292,0
p0294,1
p0295,0
p0301,0
p0302,0
p0303,1
p0305,0
p0310,0
p0315,0
p0326,1
p0333,0
p0334,1
p0340,1
p0341,1
p0344,0
p0345,1
p0347,0
p0348,0
p0349,1
p0350,0
p0352,0
p0354,0
p0355,0
p0359,0
p0360,0
p0361,1
p0364,1
p0367,0
p0369,0
p0371,0
p0373,0
p0375,0
p0377,1
p0378,0
p0379,1
p0384,0
p0386,0
p0390,1
p0391,0
p0392,0
p0395,0
p0398,0
p0400,1
p0403,1
p0404,1
p0405,0
p0406,1
p0407,1
p0408,1
p0409,1
p0410,0
p0415,0
p0418,0
p0419,1
p0421,0
p0423,0
p0427,0
p0429,1
p0430,0
p0432,0
p0436,0
p0438,0
p0440,1
p0446,1
p0448,1
p0449,1
p0451,1
p0452,1
p0456,1
p0457,0
p0459,1
p0461,1
p0463,1
p0467,0
p0468,0
p0469,1
p0471,1
p0480,0
p0482,0
p0483,1
p0484,1
p0489,1
p0492,0
p0493,1
p0494,0
p0499,0
p0501,1
p0502,0
p0503,1
p0506,1
p0508,0
p0510,0
p0514,0
p0515,0
p0517,0
p0519,0
p0521,1
p0522,0
p0528,0
p0529,0
p0530,1
p0532,0
p0534,0
p0535,1
p0539,0
p0542,0
p0545,0
p0548,0
p0549,0
p0550,1
p0552,1
p0555,0
p0556,0
p0558,0
p0559,1
p0560,0
p0561,1
p0562,0
p0563,0
p0565,0
p0569,0
p0571,1
p0573,1
p0575,0
p0576,0
p0577,0
p0580,1
p0583,1
p0584,0
p0585,1
p0586,0
p0587,0
p0588,0
p0592,1
p0593,0
p0594,0
p0595,1
p0597,0
p0601,1
p0602,1
p0610,0
p0612,0
p0615,0
p0616,0
p0618,1
p0619,0
p0621,0
p0622,1
p0627,1
p0628,0
p0630,0
p0634,0
p0635,0
p0637,1
p0639,0
p0640,1
p0645,0
p0646,0
p0648,1
p0651,0
p0652,1
p0653,1
p0658,0
p0660,1
p0663,0
p0664,0
p0667,0
p0668,1
p0672,0
p0673,1
p0674,0
p0678,0
p0679,1
p0682,1
p0683,0
p0684,1
p0685,1
p0687,0
p0688,0
p0689,1
p0690,0
p0693,1
p0694,0
p0697,1
p0700,0
p0702,1
p0703,0
p0707,0
p0709,1
p0716,1
p0717,1
p0720,1
p0724,1
p0725,0
p0726,0
p0727,0
p0728,1
p0732,1
p0733,0
p0734,0
p0739,1
p0744,0
p0747,0
p0749,1
p0750,0
p0751,0
p0754,0
p0755,0
p0756,1
p0758,0
p0760,1
p0762,1
p0764,1
p0765,0
p0766,0
p0767,0
p0768,0
p0770,1
p0771,0
p0772,0
p0776,1
p0778,0
p0780,0
p0781,1
p0782,0
p0783,0
p0784,1
p0785,1
p0789,0
p0792,0
p0797,0
p0798,0
p0799,0
p0802,1
p0803,1
p0804,1
p0805,1
p0807,1
p0812,0
p0814,0
p0815,0
p0817,0
p0818,0
p0820,1
p0823,0
p0824,0
p0825,0
p0829,0
p0831,1
p0833,0
p0834,0
p0836,1
p0837,0
p0839,0
p0840,1
p0843,0
p0845,1
p0847,0
p0848,0
p0849,1
p0851,0
p0853,1
p0854,0
p0856,0
p0858,1
p0860,0
p0862,1
p0863,0
p0864,0
p0867,0
p0876,0
p0877,0
p0878,1
p0879,1
p0881,1
p0882,0
p0883,0
p0887,0
p0888,0
p0891,1
p0892,0
p0896,1
p0897,1
p0899,1
p0900,0
p0902,1
p0903,0
p0904,1
p0906,1
p0907,0
p0910,0
p0911,1
p0917,1
p0921,1
p0926,1
p0930,0
p0934,0
p0937,0
p0938,0
p0939,0
p0943,0
p0944,0
p0947,0
p0948,0
p0953,0
p0954,0
p0018,1
p0026,1
p0034,1
p0063,1
p0065,1
p0070,1
p0072,1
p0074,1
p0083,1
p0084,1
p0091,1
p0100,1
p0111,1
p0118,1
p0157,1
p0243,1
p0259,1
p0278,1
p0321,1
p0346,1
p0353,1
p0362,1
p0401,1
p0420,1
p0422,1
p0455,1
p0465,1
p0524,1
p0526,1
p0566,1
p0570,1
p0607,1
p0614,1
p0625,1
p0642,1
p0705,1
p0722,1
p0723,1
p0731,1
p0775,1
p0777,1
p0788,1
p0810,1
p0828,1
p0852,1
p0884,1
p0924,1
p0932,1
p0935,1
p0940,1
