matcher,threshold,precision,recall,f1,roc_auc,avg_precision,false_merge_hard,false_merge_easy,missed_pos
fuzzy_token_sort,-0.01,0.5,1.0,0.6667,0.5691,0.63,0,0,0
fuzzy_token_sort_norm,-0.01,0.5,1.0,0.6667,0.6361,0.6961,0,0,0
fuzzy_token_set_norm,-0.01,0.5,1.0,0.6667,0.6316,0.6762,0,0,0
tfidf_char,-0.01,0.5,1.0,0.6667,0.6485,0.7062,0,0,0
alias_router,-0.01,0.5,1.0,0.6667,0.6491,0.7067,0,0,0
st_bge_m3,0.8062,0.6245,0.8236,0.7104,0.7572,0.753,0,0,441
st_lt_comp_en,0.634,0.5628,0.8356,0.6726,0.7179,0.7362,0,0,411
st_lt_comp_multi,0.7272,0.5843,0.876,0.701,0.7391,0.7403,0,0,310
router_lt_comp_en,0.2679,0.5628,0.8356,0.6726,0.7181,0.7356,0,0,411
router_lt_comp_multi,0.4543,0.5842,0.876,0.7009,0.7394,0.7402,0,0,310
hybrid_tfidf_llm,0.5,0.8376,0.6624,0.7398,0.6945,0.7387,0,0,844
hybrid_alias_llm,0.5,0.8373,0.6628,0.7399,0.6946,0.7386,0,0,843
hybrid_ltcomp_llm,0.5,0.8351,0.8732,0.8537,0.852,0.8143,0,0,317
hybrid_ltmulti_llm,0.5,0.8429,0.9036,0.8722,0.868,0.8188,0,0,241
